param,best,x_value,peak_force
k_5_0,814.022,8140.22,16909.6615053039
k_force,0.00015,1.5e-05,8852.3918981268
k_force,0.00015,3.23165203504783e-05,9210.77851078834
k_force,0.00015,6.96238325041917e-05,9978.33082933188
k_force,0.00015,0.00015,11651.88496925
k_force,0.00015,0.000323165203504783,19917.420018063
k_force,0.00015,0.000696238325041917,31386.1784315796
k_force,0.00015,0.0015,37629.1518715118
k_7_0,104,10.4,10532.0138738239
k_7_0,104,22.4061207763316,18559.3548376543
k_7_0,104,48.2725238695729,17378.031504783
k_7_0,104,104,11651.88496925
k_7_0,104,224.061207763316,8880.35447987288
k_7_0,104,482.725238695729,6364.18728050353
k_7_0,104,1040,5045.24717323236
passive_hsl_slack,1265,126.5,33543.6695221767
passive_hsl_slack,1265,272.535988289033,31036.1172800746
passive_hsl_slack,1265,587.160987452017,25280.7548472722
passive_hsl_slack,1265,1265,11651.88496925
passive_hsl_slack,1265,2725.35988289033,NaN
passive_hsl_slack,1265,5871.60987452016,NaN
passive_hsl_slack,1265,12650,NaN
k_coop,19.9526,1.99526,20828.3083908734
k_coop,19.9526,4.29865735963302,18417.0084201737
k_coop,19.9526,9.26117653615423,14398.1728092237
k_coop,19.9526,19.9526,11651.88496925
k_coop,19.9526,42.9865735963302,10417.0090166904
k_coop,19.9526,92.6117653615423,9841.82892815077
k_coop,19.9526,199.526,9585.22493303669
k_4_0,10,1,14685.6535973092
k_4_0,10,2.15443469003188,14089.9663532772
k_4_0,10,4.64158883361278,12763.0414945136
k_4_0,10,10,11651.88496925
k_4_0,10,21.5443469003188,10527.5651298561
k_4_0,10,46.4158883361278,9202.81859161147
k_4_0,10,100,7762.27753451624
passive_k_linear,14,1.4,12536.1000772537
passive_k_linear,14,3.01620856604464,12412.2013056738
passive_k_linear,14,6.49822436705789,12156.5513319161
passive_k_linear,14,14,11651.88496925
passive_k_linear,14,30.1620856604464,10731.5296547638
passive_k_linear,14,64.9822436705789,9253.19074668018
passive_k_linear,14,140,7241.31643916123
k_4_1,0.1,0.01,12718.8408814129
k_4_1,0.1,0.0215443469003188,12285.8524924246
k_4_1,0.1,0.0464158883361278,11996.1446571853
k_4_1,0.1,0.1,11651.88496925
k_4_1,0.1,0.215443469003188,11233.0457411388
k_4_1,0.1,0.464158883361278,10741.3882223545
k_4_1,0.1,1,10203.6340295309
k_8,0.01,0.001,11433.6394457064
k_8,0.01,0.00215443469003188,11461.3519163921
k_8,0.01,0.00464158883361278,11521.3410115382
k_8,0.01,0.01,11651.88496925
k_8,0.01,0.0215443469003188,11939.7438669083
k_8,0.01,0.0464158883361278,12590.7254666872
k_8,0.01,0.1,14213.4923855542
k_7_1,0.3248,0.03248,10898.8818128634
k_7_1,0.3248,0.0699760387322356,10999.6946021869
k_7_1,0.3248,0.150758805315743,11218.502346499
k_7_1,0.3248,0.3248,11651.88496925
k_7_1,0.3248,0.699760387322356,12070.8804057813
k_7_1,0.3248,1.50758805315743,12030.5610267135
k_7_1,0.3248,3.248,13308.7242857797
k_6_1,0.01,0.001,11974.7757715438
k_6_1,0.01,0.00215443469003188,11927.5730978444
k_6_1,0.01,0.00464158883361278,11832.3283300798
k_6_1,0.01,0.01,11651.88496925
k_6_1,0.01,0.0215443469003188,11343.3482710775
k_6_1,0.01,0.0464158883361278,10887.4432118409
k_6_1,0.01,0.1,10329.3531411953
max_rate,5000,500,11574.1191800032
max_rate,5000,1077.21734501594,11651.88496925
max_rate,5000,2320.79441680639,11651.88496925
max_rate,5000,5000,11651.88496925
max_rate,5000,10772.1734501594,11651.88496925
max_rate,5000,23207.9441680639,11651.88496925
max_rate,5000,50000,11651.88496925
k_6_0,0.1,0.01,11652.0988524533
k_6_0,0.1,0.0215443469003188,11652.0714114464
k_6_0,0.1,0.0464158883361278,11652.0122976871
k_6_0,0.1,0.1,11651.88496925
k_6_0,0.1,0.215443469003188,11651.6107797102
k_6_0,0.1,0.464158883361278,11651.0206647657
k_6_0,0.1,1,11649.7521175683
