genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak
Control,10,k_off,0.464158883361278,5.7038628540734,0,4118.62213222676,0.758999999999974,NaN,NaN,0.709428803176922,0.668943192346643
Control,10,k_off,1,12.2886,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614
Control,10,k_off,2.15443469003188,26.4749861319258,1,2367.26195011814,0.143,0.0660000000000001,0.144,0.915566904265441,0.838990655734517
Control,10,k_off,4.64158883361278,57.038628540734,1,441.481200872174,0.087,0.0660000000000001,0.114,0.919415685453083,0.909048049262678
Control,10,k_off,10,122.886,1,128.989180511919,0.0745,0.0690000000000001,0.112,0.920678794187124,0.918129301406395
Control,10,k_coop,0.1,1.99526,0,2299.14968320665,0.305,NaN,NaN,0.820472385129868,0.776519683393114
Control,10,k_coop,0.215443469003188,4.29865735963302,1,2701.25979628856,0.298,0.365999999999985,0.550999999999985,0.835662949996221,0.777766141348549
Control,10,k_coop,0.464158883361278,9.26117653615423,1,3276.16429504185,0.2905,0.239999999999999,0.416999999999999,0.860636754135965,0.782766270469884
Control,10,k_coop,1,19.9526,1,3900.37907111363,0.278,0.157,0.325,0.887672409666821,0.787912542060614
Control,10,k_coop,2.15443469003188,42.9865735963302,1,4317.63890088959,0.264,0.106,0.265,0.905285410757398,0.789237724383485
Control,10,k_coop,4.64158883361278,92.6117653615423,1,4510.93053433795,0.254,0.0810000000000001,0.234,0.913992286663701,0.787336761364681
Control,10,k_coop,10,199.526,1,4589.19870996932,0.247,0.0710000000000001,0.219,0.918066009981273,0.784823318760667
Control,20,k_1,0.1,0.560576,1,2121.09852758098,0.226,0.112,0.258,0.947957586671121,0.908572934563638
Control,20,k_1,0.215443469003188,1.20772438079931,1,2547.31402325407,0.234,0.107,0.252,0.947768459568034,0.890055485708453
Control,20,k_1,0.464158883361278,2.60196330199132,1,2854.8425083305,0.234,0.0990000000000001,0.243,0.947698973346624,0.881902249605118
Control,20,k_1,1,5.60576,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_1,2.15443469003188,12.0772438079931,1,3050.76055056471,0.228,0.0920000000000001,0.235,0.947624126146555,0.881860832553374
Control,20,k_1,4.64158883361278,26.0196330199132,1,3070.2813368716,0.227,0.0920000000000001,0.234,0.947611212786495,0.882067827935907
Control,20,k_1,10,56.0576,1,3078.01794510134,0.226,0.0910000000000001,0.234,0.947605055327979,0.882829069384922
Control,20,k_3,0.1,2.51417,1,500.076336849997,0.1405,0.0950000000000001,0.195,0.95823666049923,0.948324711714128
Control,20,k_3,0.215443469003188,5.41661506463746,1,1020.867149654,0.165,0.0840000000000001,0.2,0.957081073136598,0.936238104290655
Control,20,k_3,0.464158883361278,11.6697433978042,1,1883.68003172902,0.195,0.0800000000000001,0.209,0.954415644534249,0.914297468124631
Control,20,k_3,1,25.1417,1,2997.87397513758,0.231,0.0950000000000001,0.238,0.94765037011545,0.88093354653456
Control,20,k_3,2.15443469003188,54.1661506463746,1,4146.70284261338,0.2985,0.195,0.375,0.924451757967829,0.835314413283944
Control,20,k_3,4.64158883361278,116.697433978042,0,7699.8649518914,0.761999999999974,NaN,NaN,0.790811198168968,0.666305710546573
