genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,k_5_0,0.215443469003188,246.247576201264,0,4561.35769632856,0.646999999999986,NaN,NaN,0.835510484992621,0.745484744911435,least_squares,3298.34774364503,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.464158883361278,530.524320504273,0,6316.99029435719,0.520999999999995,NaN,NaN,0.838315067135097,0.735825433227819,peak,2978.44136117775,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.464158883361278,530.524320504273,0,6316.99029435719,0.520999999999995,NaN,NaN,0.838315067135097,0.735825433227819,p95,3020.23635481647,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_5_0,0.464158883361278,530.524320504273,0,6316.99029435719,0.520999999999995,NaN,NaN,0.838315067135097,0.735825433227819,least_squares,3298.34774364503,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_5_0,1,1142.98,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,peak,2978.44136117775,0.1415,0.134,1.79317169851616,1.43816254416961,1.6194029850745,7.90624227187994
H251N,10,k_5_0,1,1142.98,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,p95,3020.23635481647,0.1415,0.134,1.75451889798776,1.43816254416961,1.6194029850745,7.7691140949168
H251N,10,k_5_0,1,1142.98,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,least_squares,3298.34774364503,0.1415,0.134,1.52226228473348,1.43816254416961,1.6194029850745,7.00805999504261
H251N,10,k_5_0,2.15443469003188,2462.47576201264,1,10452.4683122592,0.285,0.0870000000000001,0.28,0.850242069333444,0.695913773586409,peak,2978.44136117775,0.1415,0.134,2.50937522171865,1.01413427561837,-0.350746268656716,7.44845527733615
H251N,10,k_5_0,2.15443469003188,2462.47576201264,1,10452.4683122592,0.285,0.0870000000000001,0.28,0.850242069333444,0.695913773586409,p95,3020.23635481647,0.1415,0.134,2.46081136848455,1.01413427561837,-0.350746268656716,7.20708386522341
H251N,10,k_5_0,2.15443469003188,2462.47576201264,1,10452.4683122592,0.285,0.0870000000000001,0.28,0.850242069333444,0.695913773586409,least_squares,3298.34774364503,0.1415,0.134,2.1690013075177,1.01413427561837,-0.350746268656716,5.85605794597412
H251N,10,k_5_0,4.64158883361278,5305.24320504273,1,12283.0485421707,0.2605,0.053,0.234,0.858322931924265,0.68346543975353,peak,2978.44136117775,0.1415,0.134,3.12398535095337,0.840989399293285,-0.604477611940298,10.831940826032
H251N,10,k_5_0,4.64158883361278,5305.24320504273,1,12283.0485421707,0.2605,0.053,0.234,0.858322931924265,0.68346543975353,p95,3020.23635481647,0.1415,0.134,3.06691632679094,0.840989399293285,-0.604477611940298,10.4786321085976
H251N,10,k_5_0,4.64158883361278,5305.24320504273,1,12283.0485421707,0.2605,0.053,0.234,0.858322931924265,0.68346543975353,least_squares,3298.34774364503,0.1415,0.134,2.7240004683668,0.840989399293285,-0.604477611940298,8.49283490472327
H251N,10,k_5_0,10,11429.8,1,13671.5836304728,0.246,0.039,0.214,0.865203420474849,0.675150017595931,peak,2978.44136117775,0.1415,0.134,3.59018055842024,0.73851590106007,-0.708955223880597,13.9374196876448
H251N,10,k_5_0,10,11429.8,1,13671.5836304728,0.246,0.039,0.214,0.865203420474849,0.675150017595931,p95,3020.23635481647,0.1415,0.134,3.52666017633696,0.73851590106007,-0.708955223880597,13.4853552449472
H251N,10,k_5_0,10,11429.8,1,13671.5836304728,0.246,0.039,0.214,0.865203420474849,0.675150017595931,least_squares,3298.34774364503,0.1415,0.134,3.14497945427799,0.73851590106007,-0.708955223880597,10.9389190134168
H251N,10,k_4_0,0.1,1.00338,0,9386.95086770211,0.592999999999992,NaN,NaN,0.825908966140348,0.690987108826479,peak,2978.44136117775,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.1,1.00338,0,9386.95086770211,0.592999999999992,NaN,NaN,0.825908966140348,0.690987108826479,p95,3020.23635481647,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.1,1.00338,0,9386.95086770211,0.592999999999992,NaN,NaN,0.825908966140348,0.690987108826479,least_squares,3298.34774364503,0.1415,0.134,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.215443469003188,2.16171667928419,0,9159.18189100156,0.559499999999994,NaN,NaN,0.828275457471696,0.696632644077181,peak,2978.44136117775,0.1415,0.134,NaN,NaN,NaN,Inf
