genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,0.1,1,3.16227766016838,1.69527,16.9527,15.6713,3614.42012001925,9481.78521000861,0.273,0.0720000000000001,0.862031784939597,0.725406668062648,p95,3041.80273612007,0.333,0.136,2.11715980047509,-0.18018018018018,-0.470588235294118,4.73628380527471
H251N,10,0.1,1,3.16227766016838,1.69527,16.9527,15.6713,3614.42012001925,9481.78521000861,0.273,0.0720000000000001,0.862031784939597,0.725406668062648,least_squares,3325.87523837113,0.333,0.136,1.85091427983101,-0.18018018018018,-0.470588235294118,3.67980185580933
H251N,10,0.1,1,10,1.69527,16.9527,15.6713,11429.8,11121.5314956581,0.249,0.042,0.870236104627437,0.720963153210641,peak,2994.60909783253,0.333,0.136,2.71385083405635,-0.252252252252253,-0.691176470588235,7.90634246176947
H251N,10,0.1,1,10,1.69527,16.9527,15.6713,11429.8,11121.5314956581,0.249,0.042,0.870236104627437,0.720963153210641,p95,3041.80273612007,0.333,0.136,2.65623035432073,-0.252252252252253,-0.691176470588235,7.596915807476
H251N,10,0.1,1,10,1.69527,16.9527,15.6713,11429.8,11121.5314956581,0.249,0.042,0.870236104627437,0.720963153210641,least_squares,3325.87523837113,0.333,0.136,2.34394127817762,-0.252252252252253,-0.691176470588235,6.03541682780609
H251N,10,0.1,3.16227766016838,0.1,1.69527,16.9527,49.5570018957967,114.298,5261.77513475887,0.869499999999962,NaN,0.695511457193834,0.533260180258999,peak,2994.60909783253,0.333,0.136,0.757082464808942,1.61111111111099,NaN,NaN
H251N,10,0.1,3.16227766016838,0.1,1.69527,16.9527,49.5570018957967,114.298,5261.77513475887,0.869499999999962,NaN,0.695511457193834,0.533260180258999,p95,3041.80273612007,0.333,0.136,0.729821290604285,1.61111111111099,NaN,NaN
H251N,10,0.1,3.16227766016838,0.1,1.69527,16.9527,49.5570018957967,114.298,5261.77513475887,0.869499999999962,NaN,0.695511457193834,0.533260180258999,least_squares,3325.87523837113,0.333,0.136,0.582072314094336,1.61111111111099,NaN,NaN
H251N,10,0.1,3.16227766016838,0.316227766016838,1.69527,16.9527,49.5570018957967,361.442012001925,11968.0793587776,0.863499999999962,NaN,0.697234904590833,0.502767591385779,peak,2994.60909783253,0.333,0.136,2.99654144089791,1.59309309309298,NaN,NaN
H251N,10,0.1,3.16227766016838,0.316227766016838,1.69527,16.9527,49.5570018957967,361.442012001925,11968.0793587776,0.863499999999962,NaN,0.697234904590833,0.502767591385779,p95,3041.80273612007,0.333,0.136,2.93453500999981,1.59309309309298,NaN,NaN
H251N,10,0.1,3.16227766016838,0.316227766016838,1.69527,16.9527,49.5570018957967,361.442012001925,11968.0793587776,0.863499999999962,NaN,0.697234904590833,0.502767591385779,least_squares,3325.87523837113,0.333,0.136,2.59847513842373,1.59309309309298,NaN,NaN
H251N,10,0.1,3.16227766016838,1,1.69527,16.9527,49.5570018957967,1142.98,18110.0300875422,0.852999999999964,NaN,0.689856891502788,0.489935147890005,peak,2994.60909783253,0.333,0.136,5.04754393508323,1.56156156156145,NaN,NaN
H251N,10,0.1,3.16227766016838,1,1.69527,16.9527,49.5570018957967,1142.98,18110.0300875422,0.852999999999964,NaN,0.689856891502788,0.489935147890005,p95,3041.80273612007,0.333,0.136,4.95371615407322,1.56156156156145,NaN,NaN
H251N,10,0.1,3.16227766016838,1,1.69527,16.9527,49.5570018957967,1142.98,18110.0300875422,0.852999999999964,NaN,0.689856891502788,0.489935147890005,least_squares,3325.87523837113,0.333,0.136,4.44519225453919,1.56156156156145,NaN,NaN
H251N,10,0.1,3.16227766016838,3.16227766016838,1.69527,16.9527,49.5570018957967,3614.42012001925,21212.6032065793,0.836999999999966,NaN,0.688876242975054,0.49365578979417,peak,2994.60909783253,0.333,0.136,6.0835967278443,1.51351351351341,NaN,NaN
H251N,10,0.1,3.16227766016838,3.16227766016838,1.69527,16.9527,49.5570018957967,3614.42012001925,21212.6032065793,0.836999999999966,NaN,0.688876242975054,0.49365578979417,p95,3041.80273612007,0.333,0.136,5.9736945643085,1.51351351351341,NaN,NaN
H251N,10,0.1,3.16227766016838,3.16227766016838,1.69527,16.9527,49.5570018957967,3614.42012001925,21212.6032065793,0.836999999999966,NaN,0.688876242975054,0.49365578979417,least_squares,3325.87523837113,0.333,0.136,5.37805139586904,1.51351351351341,NaN,NaN
H251N,10,0.1,3.16227766016838,10,1.69527,16.9527,49.5570018957967,11429.8,21656.544045093,0.809999999999968,NaN,0.694055504744336,0.506138901496165,peak,2994.60909783253,0.333,0.136,6.23184340178751,1.43243243243233,NaN,NaN
H251N,10,0.1,3.16227766016838,10,1.69527,16.9527,49.5570018957967,11429.8,21656.544045093,0.809999999999968,NaN,0.694055504744336,0.506138901496165,p95,3041.80273612007,0.333,0.136,6.11964118775064,1.43243243243233,NaN,NaN
H251N,10,0.1,3.16227766016838,10,1.69527,16.9527,49.5570018957967,11429.8,21656.544045093,0.809999999999968,NaN,0.694055504744336,0.506138901496165,least_squares,3325.87523837113,0.333,0.136,5.51153230140391,1.43243243243233,NaN,NaN
H251N,10,0.1,10,0.1,1.69527,16.9527,156.713,114.298,6065.62682161825,0.870499999999962,NaN,0.553541844574785,0.386044672206547,peak,2994.60909783253,0.333,0.136,1.0255153923123,1.614114114114,NaN,NaN
H251N,10,0.1,10,0.1,1.69527,16.9527,156.713,114.298,6065.62682161825,0.870499999999962,NaN,0.553541844574785,0.386044672206547,p95,3041.80273612007,0.333,0.136,0.994089475162738,1.614114114114,NaN,NaN
H251N,10,0.1,10,0.1,1.69527,16.9527,156.713,114.298,6065.62682161825,0.870499999999962,NaN,0.553541844574785,0.386044672206547,least_squares,3325.87523837113,0.333,0.136,0.823768598304047,1.614114114114,NaN,NaN
H251N,10,0.1,10,0.316227766016838,1.69527,16.9527,156.713,361.442012001925,14622.0970452888,0.863999999999962,NaN,0.528496272610348,0.378134302428007,peak,2994.60909783253,0.333,0.136,3.88280659264414,1.59459459459448,NaN,NaN
