param,best,x_value,peak_force
k_boltzmann,1.38e-23,1.38e-24,1460.69381714951
k_boltzmann,1.38e-23,2.973119872244e-24,2230.0475097526
k_boltzmann,1.38e-23,6.40539259038564e-24,3381.55947823314
k_boltzmann,1.38e-23,1.38e-23,5014.9263977822
k_boltzmann,1.38e-23,2.973119872244e-23,7078.58216719849
k_boltzmann,1.38e-23,6.40539259038563e-23,8711.38319841156
k_boltzmann,1.38e-23,1.38e-22,8700.7302965879
temperature,288,28.8,1460.69381714951
temperature,288,62.0477190729183,2230.04750979569
temperature,288,133.677758408048,3381.55947823314
temperature,288,288,5014.9263977822
temperature,288,620.477190729183,7078.58216729439
temperature,288,1336.77758408048,8711.38319841156
temperature,288,2880,8700.7302965879
passive_hsl_slack,1265,126.5,22818.5397265639
passive_hsl_slack,1265,272.535988289033,20645.846801598
passive_hsl_slack,1265,587.160987452017,15881.9231123728
passive_hsl_slack,1265,1265,5014.9263977822
passive_hsl_slack,1265,2725.35988289033,NaN
passive_hsl_slack,1265,5871.60987452016,NaN
passive_hsl_slack,1265,12650,NaN
k_7_0,104,10.4,7615.96105685501
k_7_0,104,22.4061207763316,10177.017704585
k_7_0,104,48.2725238695729,6837.67665493451
k_7_0,104,104,5014.9263977822
k_7_0,104,224.061207763316,3435.90844133554
k_7_0,104,482.725238695729,2616.93615902575
k_7_0,104,1040,2245.70461580062
k_cb,0.001,0.0001,1266.15436344194
k_cb,0.001,0.000215443469003188,2597.45069962497
k_cb,0.001,0.000464158883361278,4108.93555040784
k_cb,0.001,0.001,5014.9263977822
k_cb,0.001,0.00215443469003188,5252.02953247399
k_cb,0.001,0.00464158883361278,5069.35551928018
k_cb,0.001,0.01,4661.29874367816
k_force,0.00015,1.5e-05,4313.13025078265
k_force,0.00015,3.23165203504783e-05,4400.83193113127
k_force,0.00015,6.96238325041917e-05,4591.78689205079
k_force,0.00015,0.00015,5014.9263977822
k_force,0.00015,0.000323165203504783,6014.59104486949
k_force,0.00015,0.000696238325041917,11314.5447884745
k_force,0.00015,0.0015,16675.4043524015
k_12,1,0.1,5552.89607278708
k_12,1,0.215443469003188,5475.84435656055
k_12,1,0.464158883361278,5318.48160429003
k_12,1,1,5014.9263977822
k_12,1,2.15443469003188,4488.55125444167
k_12,1,4.64158883361278,3721.38842423628
k_12,1,10,2814.17871028076
passive_k_linear,14,1.4,5399.09969348574
passive_k_linear,14,3.01620856604464,5345.50721653453
passive_k_linear,14,6.49822436705789,5234.65386580618
passive_k_linear,14,14,5014.9263977822
passive_k_linear,14,30.1620856604464,4612.48167628919
passive_k_linear,14,64.9822436705789,3963.71191367955
passive_k_linear,14,140,3083.32007709368
k_coop,19.9526,1.99526,7211.45363322612
k_coop,19.9526,4.29865735963302,6631.03467189616
k_coop,19.9526,9.26117653615423,5794.51534085908
k_coop,19.9526,19.9526,5014.9263977822
k_coop,19.9526,42.9865735963302,4545.81458178481
k_coop,19.9526,92.6117653615423,4296.41744436922
k_coop,19.9526,199.526,4162.57280842435
k_11,5,0.5,4128.28350309118
k_11,5,1.07721734501594,4326.33715490267
k_11,5,2.32079441680639,4638.88831157914
k_11,5,5,5014.9263977822
k_11,5,10.7721734501594,5325.58042476399
k_11,5,23.2079441680639,5511.15433089002
k_11,5,50,5606.23202166876
k_13,100,10,4001.98933006248
k_13,100,21.5443469003188,4397.23343033019
k_13,100,46.4158883361278,4762.90157037625
k_13,100,100,5014.9263977822
k_13,100,215.443469003188,5157.11651677706
k_13,100,464.158883361278,5229.48599549184
k_13,100,1000,5264.56284350912
k_7_1,0.228082,0.0228082,5122.15908307682
k_7_1,0.228082,0.0491387772971852,5111.45390977091
k_7_1,0.228082,0.105866286434807,5084.94701834006
k_7_1,0.228082,0.228082,5014.9263977822
k_7_1,0.228082,0.491387772971852,4835.79841223373
k_7_1,0.228082,1.05866286434807,4477.55798195312
k_7_1,0.228082,2.28082,4017.95562710258
k_4_1,0.1,0.01,5267.43702841159
k_4_1,0.1,0.0215443469003188,5220.01915217945
k_4_1,0.1,0.0464158883361278,5139.50211439553
k_4_1,0.1,0.1,5014.9263977822
k_4_1,0.1,0.215443469003188,4841.90393503364
k_4_1,0.1,0.464158883361278,4626.33568817708
k_4_1,0.1,1,4380.06943983369
k_9,5,0.5,5124.2546825258
k_9,5,1.07721734501594,5109.3394728719
k_9,5,2.32079441680639,5078.11472823569
k_9,5,5,5014.9263977822
k_9,5,10.7721734501594,4894.76133400695
k_9,5,23.2079441680639,4691.10583439589
k_9,5,50,4403.53081160449
k_14,1,0.1,5023.20617485781
k_14,1,0.215443469003188,5022.13744276812
k_14,1,0.464158883361278,5019.83697860181
k_14,1,1,5014.9263977822
k_14,1,2.15443469003188,5004.38053380167
k_14,1,4.64158883361278,4981.91666067759
k_14,1,10,4934.73434935041
k_6_1,0.01,0.001,5020.50774496438
k_6_1,0.01,0.00215443469003188,5019.72260128301
k_6_1,0.01,0.00464158883361278,5018.10472471803
k_6_1,0.01,0.01,5014.9263977822
k_6_1,0.01,0.0215443469003188,5009.22982781
k_6_1,0.01,0.0464158883361278,5000.5193938839
k_6_1,0.01,0.1,4989.99102363768
max_rate,5000,500,5014.85638416031
