param,best,x_value,peak_force
k_6_1,0.01,0.01,11110.4655436109
k_6_1,0.01,0.0215443469003188,10917.860126833
k_6_1,0.01,0.0464158883361278,10661.2553925998
k_6_1,0.01,0.1,10386.9767264481
k_9,5,0.5,11237.9213902094
k_9,5,1.07721734501594,11220.7057608549
k_9,5,2.32079441680639,11184.503069376
k_9,5,5,11110.4655436109
k_9,5,10.7721734501594,10967.0878016932
k_9,5,23.2079441680639,10716.4325504897
k_9,5,50,10347.1512526256
k_14,1.8,0.18,11134.0570416004
k_14,1.8,0.387798244205739,11131.0207615562
k_14,1.8,0.8354859900503,11124.4868448408
k_14,1.8,1.8,11110.4655436109
k_14,1.8,3.87798244205739,11080.5146175016
k_14,1.8,8.354859900503,11017.1021236196
k_14,1.8,18,10885.337454346
max_rate,5000,500,11035.2822363927
max_rate,5000,1077.21734501594,11110.4655436109
max_rate,5000,2320.79441680639,11110.4655436109
max_rate,5000,5000,11110.4655436109
max_rate,5000,10772.1734501594,11110.4655436109
max_rate,5000,23207.9441680639,11110.4655436109
max_rate,5000,50000,11110.4655436109
k_6_0,0.1,0.01,11110.6075643036
k_6_0,0.1,0.0215443469003188,11110.5893425474
k_6_0,0.1,0.0464158883361278,11110.5500896525
k_6_0,0.1,0.1,11110.4655436109
k_6_0,0.1,0.215443469003188,11110.2834956054
k_6_0,0.1,0.464158883361278,11109.891752833
k_6_0,0.1,1,11109.0499332048
