id,group_id,alignment_policy,genotype,stage,restart,target_peak,target_force_rise_time,target_calcium_to_force_lag,target_time_to_peak_argmax,target_time_to_peak_centroid,target_relax_half_time,target_fwhm,target_normalized_rmse,model_peak,model_relative_peak_error_signed,model_force_rise_time,model_calcium_to_force_lag,model_time_to_peak_argmax,model_time_to_peak_centroid,model_relax_half_time,model_fwhm,model_normalized_rmse
shared_by_genotype__H251N__k123__s04,shared_by_genotype__H251N,shared_by_genotype,H251N,k123,4,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2546.22721625921,-0.149729686555033,0.496,0.016,0.2,0.1965,0.0790000000000001,0.221,0.455522089202083
shared_by_genotype__H251N__plus_k50__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,1,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2959.37377518752,-0.0117662511178889,0.493,0.013,0.286,0.293,0.211,0.392,0.0531604261571011
shared_by_genotype__H251N__plus_k50__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,2,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2969.09403540925,-0.00852033156572695,0.494,0.014,0.291,0.2975,0.21,0.391,0.0529265189354573
shared_by_genotype__H251N__plus_k50__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,3,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2932.93371638852,-0.0205954698690549,0.492,0.012,0.284,0.291,0.214,0.398,0.0573477861337416
shared_by_genotype__H251N__plus_k50__s04,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k50,4,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2966.57774911828,-0.00936060360417052,0.493,0.013,0.289,0.2955,0.21,0.391,0.0524082759506641
shared_by_genotype__H251N__plus_k40__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,1,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3086.09485646513,0.0305501505017199,0.498,0.018,0.303,0.3025,0.191,0.377,0.0385421056874414
shared_by_genotype__H251N__plus_k40__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,2,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2885.56474098233,-0.0364135529171814,0.483,0.003,0.281,0.2895,0.221,0.406,0.0650877234713614
shared_by_genotype__H251N__plus_k40__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,3,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3039.71674338586,0.0150629494801088,0.496,0.016,0.291,0.292,0.194,0.379,0.0503449024355607
shared_by_genotype__H251N__plus_k40__s04,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k40,4,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3082.14400746231,0.0292308300582979,0.499,0.019,0.304,0.3035,0.19,0.378,0.0379368975088952
shared_by_genotype__H251N__plus_k73__s01,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,1,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3082.14400746231,0.0292308300582979,0.499,0.019,0.304,0.3035,0.19,0.378,0.0379368975088952
shared_by_genotype__H251N__plus_k73__s02,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,2,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2973.99519449069,-0.0068836708459762,0.492,0.012,0.281,0.2845,0.202,0.384,0.0642514642509791
shared_by_genotype__H251N__plus_k73__s03,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,3,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3015.23251009207,0.00688684619119932,0.495,0.015,0.287,0.2895,0.199,0.382,0.0528500115329164
shared_by_genotype__H251N__plus_k73__s04,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,4,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3077.47071513512,0.027670261658712,0.5,0.02,0.302,0.301,0.193,0.38,0.0384493165819799
shared_by_genotype__H251N__plus_k73__s05,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,5,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3078.1695977586,0.0279036419099088,0.5,0.02,0.298,0.3,0.194,0.374,0.0421021071789626
shared_by_genotype__H251N__plus_k73__s06,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,6,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,3079.36961146892,0.0283043665691576,0.498,0.018,0.304,0.3035,0.19,0.378,0.0375220879078539
shared_by_genotype__H251N__plus_k73__s07,shared_by_genotype__H251N,shared_by_genotype,H251N,plus_k73,7,2994.60909783253,0.484,0.004,0.352,0.333,0.136,0.385,0,2905.835893067,-0.0296443381641295,0.492,0.012,0.279,0.2875,0.224,0.406,0.0584980096776094
