id,group_id,alignment_policy,genotype,stage,restart,name,p_raw,p_simulated,normalized_distance,physical_distance,log_distance,fold_distance,lower_bound,upper_bound,physical_value,classification
shared_by_genotype__Control__plus_k40__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,2,k_5_0,0.1307819453,0.1307819453,0.1307819453,19.8738311077473,0.2615638906,1.82626539768693,24.0526000040455,2405.26000040455,43.9264311117927,interior
shared_by_genotype__Control__plus_k40__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,2,k_4_0,0.4018392614,0.4018392614,0.4018392614,27.839630114624,0.803678522679448,6.36324320888289,5.19082000020333,519.081999661764,33.0304501148273,interior
shared_by_genotype__Control__plus_k40__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,3,k_1,8.232034326e-06,8.232034326e-06,8.232034326e-06,2.1251793600241e-05,1.64640686496164e-05,1.00003791063763,0.56057599996597,56.0575999578738,0.56059725175957,near_lower
shared_by_genotype__Control__plus_k40__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,3,k_2,0.9979311424,0.9979311424,0.00206885759999997,5.31549321792932,0.00413771519937937,1.00957297188804,5.6057599996597,560.575999578738,555.260506360808,near_upper
shared_by_genotype__Control__plus_k40__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,3,k_3,0.3448269024,0.3448269024,0.3448269024,9.78989012653074,0.689653804834483,4.89388550776567,2.51416999986428,251.417000044319,12.304060126395,interior
shared_by_genotype__Control__plus_k40__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,3,k_5_0,0.5131561994,0.5131561994,0.4868438006,231.496542372197,0.9736876012,9.4121231558011,24.0526000040455,2405.26000040455,255.549142376243,interior
shared_by_genotype__Control__plus_k40__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,3,k_4_0,0.6526678531,0.6526678531,0.3473321469,99.6599623445056,0.694664293695801,4.95067359588431,5.19082000020333,519.081999661764,104.850782344709,interior
shared_by_genotype__Control__plus_k40__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,4,k_1,0.07056062616,0.07056062616,0.07056062616,0.215234677692712,0.141121252298832,1.38395271596675,0.56057599996597,56.0575999578738,0.775810677658682,interior
shared_by_genotype__Control__plus_k40__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,4,k_2,0.4392879907,0.4392879907,0.4392879907,36.7790735107878,0.878575981268214,7.56094329993087,5.6057599996597,560.575999578738,42.3848335104475,interior
shared_by_genotype__Control__plus_k40__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,4,k_3,0.8755030285,0.8755030285,0.1244969715,109.706935126421,0.24899394301245,1.7741647369224,2.51416999986428,251.417000044319,141.710064917898,interior
shared_by_genotype__Control__plus_k40__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,4,k_5_0,0.1120294087,0.1120294087,0.1120294087,16.2395875074411,0.2240588174,1.67516973236614,24.0526000040455,2405.26000040455,40.2921875114865,interior
shared_by_genotype__Control__plus_k40__s04,shared_by_genotype__Control,shared_by_genotype,Control,plus_k40,4,k_4_0,0.3873393835,0.3873393835,0.3873393835,25.706067830209,0.774678766883798,5.9522171505084,5.19082000020333,519.081999661764,30.8968878304123,interior
shared_by_genotype__Control__plus_k73__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,1,k_1,0.06852982534,0.06852982534,0.06852982534,0.208012975936162,0.137059650659441,1.37107007069298,0.56057599996597,56.0575999578738,0.768588975902131,interior
shared_by_genotype__Control__plus_k73__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,1,k_2,0.5507930596,0.5507930596,0.4492069404,65.2247908519894,0.898413880665238,7.91432500296143,5.6057599996597,560.575999578738,70.8305508516491,interior
shared_by_genotype__Control__plus_k73__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,1,k_3,0.9999995887,0.9999995887,4.11299999947268e-07,0.000476210122172915,8.22599999616394e-07,1.00000189410829,2.51416999986428,251.417000044319,251.416523834197,near_upper
shared_by_genotype__Control__plus_k73__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,1,k_5_0,0.1152850986,0.1152850986,0.1152850986,16.8482398818846,0.2305701972,1.70047478771737,24.0526000040455,2405.26000040455,40.90083988593,interior
shared_by_genotype__Control__plus_k73__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,1,k_4_0,0.4023921338,0.4023921338,0.4023921338,27.9238351525894,0.804784267479282,6.37946512333226,5.19082000020333,519.081999661764,33.1146551527927,interior
shared_by_genotype__Control__plus_k73__s01,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,1,k_7_3,0.5347005776,0.5347005776,0.4652994224,8.700898015553,0.930598844948896,8.52312474692152,0.810683999993441,81.0684000590775,9.51158201554644,interior
shared_by_genotype__Control__plus_k73__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,2,k_1,0.2634434475,0.2634434475,0.2634434475,1.32533587539614,0.526886894920967,3.36423941709349,0.56057599996597,56.0575999578738,1.88591187536211,interior
shared_by_genotype__Control__plus_k73__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,2,k_2,0.7015801468,0.7015801468,0.2984198532,136.232956831542,0.596839706310474,3.95220721184233,5.6057599996597,560.575999578738,141.838716831202,interior
shared_by_genotype__Control__plus_k73__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,2,k_3,1.000002803,1,0,0,0,1,2.51416999986428,251.417000044319,251.417000044319,outside_upper
shared_by_genotype__Control__plus_k73__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,2,k_5_0,0.07461375321,0.07461375321,0.07461375321,9.86222147919646,0.14922750642,1.41002725183713,24.0526000040455,2405.26000040455,33.9148214832419,interior
shared_by_genotype__Control__plus_k73__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,2,k_4_0,0.4250054252,0.4250054252,0.4250054252,31.5582894825698,0.850010850272498,7.07963471692981,5.19082000020333,519.081999661764,36.7491094827731,interior
shared_by_genotype__Control__plus_k73__s02,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,2,k_7_3,0.906761301,0.906761301,0.093238699,28.299966291565,0.186477398029836,1.5363048374005,0.810683999993441,81.0684000590775,52.7684337675125,interior
shared_by_genotype__Control__plus_k73__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,3,k_1,0.08702398734,0.08702398734,0.08702398734,0.276341164480833,0.174047974653893,1.49295932130096,0.56057599996597,56.0575999578738,0.836917164446803,interior
shared_by_genotype__Control__plus_k73__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,3,k_2,0.9999015203,0.9999015203,9.84796999999871e-05,0.254172420785494,0.000196959399970427,1.00045361863213,5.6057599996597,560.575999578738,560.321827157952,near_upper
shared_by_genotype__Control__plus_k73__s03,shared_by_genotype__Control,shared_by_genotype,Control,plus_k73,3,k_3,0.4127234984,0.4127234984,0.4127234984,14.3064359446047,0.825446996841272,6.69032163512292,2.51416999986428,251.417000044319,16.820605944469,interior
