genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak
Control,10,0.1,10,0.316227766016838,0.560576,5.60576,251.417,76.060999648966,3895.85070894422,0.777999999999972,NaN,0.769988284596914,0.601689286455074
Control,10,0.1,10,1,0.560576,5.60576,251.417,240.526,9287.98798964283,0.776499999999972,NaN,0.749156328537952,0.564824746995789
Control,10,0.1,10,3.16227766016838,0.560576,5.60576,251.417,760.60999648966,15710.9538791306,0.771999999999972,NaN,0.719663264570057,0.544011107567319
Control,10,0.1,10,10,0.560576,5.60576,251.417,2405.26,19860.6328482804,0.765499999999973,NaN,0.696235579934753,0.541887857277337
Control,10,0.316227766016838,0.1,0.1,1.77269696162655,17.7269696162655,2.51417,24.0526,151.024537647574,0.1805,0.0820000000000001,0.919959136278946,0.908619657889246
Control,10,0.316227766016838,0.1,0.316227766016838,1.77269696162655,17.7269696162655,2.51417,76.060999648966,401.646420915618,0.173,0.0830000000000001,0.919664959955798,0.906004998623348
Control,10,0.316227766016838,0.1,1,1.77269696162655,17.7269696162655,2.51417,240.526,862.938565531784,0.1625,0.0840000000000001,0.919191678275996,0.90142012993979
Control,10,0.316227766016838,0.1,3.16227766016838,1.77269696162655,17.7269696162655,2.51417,760.60999648966,1436.73791849254,0.1555,0.0830000000000001,0.918662512940677,0.895930706326109
Control,10,0.316227766016838,0.1,10,1.77269696162655,17.7269696162655,2.51417,2405.26,1959.64376376012,0.153,0.0810000000000001,0.918214275149379,0.890988108121529
Control,10,0.316227766016838,0.316227766016838,0.1,1.77269696162655,17.7269696162655,7.95050362486553,24.0526,295.911006347472,0.222,0.0920000000000001,0.916429659331553,0.887174941967564
Control,10,0.316227766016838,0.316227766016838,0.316227766016838,1.77269696162655,17.7269696162655,7.95050362486553,76.060999648966,845.87223722069,0.215,0.0900000000000001,0.915406452440229,0.879976594847661
Control,10,0.316227766016838,0.316227766016838,1,1.77269696162655,17.7269696162655,7.95050362486553,240.526,2027.27403992852,0.205,0.0850000000000001,0.913747165881454,0.866213585701215
Control,10,0.316227766016838,0.316227766016838,3.16227766016838,1.77269696162655,17.7269696162655,7.95050362486553,760.60999648966,3648.4648807012,0.199,0.0770000000000001,0.911878342173675,0.849234954526135
Control,10,0.316227766016838,0.316227766016838,10,1.77269696162655,17.7269696162655,7.95050362486553,2405.26,5144.471133,0.1965,0.0690000000000001,0.91029092186922,0.834752513231266
Control,10,0.316227766016838,1,0.1,1.77269696162655,17.7269696162655,25.1417,24.0526,437.060124045301,0.297,0.18,0.901458872507303,0.849053645397243
Control,10,0.316227766016838,1,0.316227766016838,1.77269696162655,17.7269696162655,25.1417,76.060999648966,1318.10599149384,0.2895,0.181,0.896730220989684,0.831396716432495
Control,10,0.316227766016838,1,1,1.77269696162655,17.7269696162655,25.1417,240.526,3469.5917731687,0.2785,0.181,0.888561512609495,0.79759889149542
Control,10,0.316227766016838,1,3.16227766016838,1.77269696162655,17.7269696162655,25.1417,760.60999648966,6658.518761595,0.271,0.168,0.878997185597906,0.758691281351402
Control,10,0.316227766016838,1,10,1.77269696162655,17.7269696162655,25.1417,2405.26,9586.49989187377,0.2665,0.145,0.870982409933974,0.729680319688091
Control,10,0.316227766016838,3.16227766016838,0.1,1.77269696162655,17.7269696162655,79.5050362486553,24.0526,1032.75300548169,0.761499999999974,NaN,0.806254085456127,0.748442302039617
Control,10,0.316227766016838,3.16227766016838,0.316227766016838,1.77269696162655,17.7269696162655,79.5050362486553,76.060999648966,3231.90599562983,0.767499999999973,NaN,0.782171593549168,0.678162202436815
Control,10,0.316227766016838,3.16227766016838,1,1.77269696162655,17.7269696162655,79.5050362486553,240.526,8275.58768298891,0.766999999999973,NaN,0.732640917074319,0.587061974458874
Control,10,0.316227766016838,3.16227766016838,3.16227766016838,1.77269696162655,17.7269696162655,79.5050362486553,760.60999648966,13843.5299149211,0.758999999999974,NaN,0.678303365291672,0.540026457501969
Control,10,0.316227766016838,3.16227766016838,10,1.77269696162655,17.7269696162655,79.5050362486553,2405.26,16898.4445311803,0.747499999999975,NaN,0.643773016382984,0.528832177385792
Control,10,0.316227766016838,10,0.1,1.77269696162655,17.7269696162655,251.417,24.0526,1588.55017717957,0.777499999999972,NaN,0.619017520781611,0.507348024341768
Control,10,0.316227766016838,10,0.316227766016838,1.77269696162655,17.7269696162655,251.417,76.060999648966,4710.01732927166,0.776499999999972,NaN,0.594952565422449,0.465393861812819
Control,10,0.316227766016838,10,1,1.77269696162655,17.7269696162655,251.417,240.526,11086.6186764789,0.771999999999972,NaN,0.54503154482519,0.43447101436056
Control,10,0.316227766016838,10,3.16227766016838,1.77269696162655,17.7269696162655,251.417,760.60999648966,16419.7730796437,0.761499999999974,NaN,0.500560760980045,0.444034532096224
Control,10,0.316227766016838,10,10,1.77269696162655,17.7269696162655,251.417,2405.26,17208.0213209294,0.739999999999976,NaN,0.482173716976872,0.46392259766227
Control,10,1,0.1,0.1,5.60576,56.0576,2.51417,24.0526,155.117895597325,0.1795,0.0810000000000001,0.920116143686765,0.907740110729118
Control,10,1,0.1,0.316227766016838,5.60576,56.0576,2.51417,76.060999648966,416.657051420681,0.172,0.0830000000000001,0.919812740416782,0.904079712534332
Control,10,1,0.1,1,5.60576,56.0576,2.51417,240.526,911.864509820806,0.161,0.0850000000000001,0.919323155812259,0.897614695790527
Control,10,1,0.1,3.16227766016838,5.60576,56.0576,2.51417,760.60999648966,1548.04887186492,0.1535,0.0840000000000001,0.918773109011971,0.889856171728293
Control,10,1,0.1,10,5.60576,56.0576,2.51417,2405.26,2141.6204403937,0.1505,0.0810000000000001,0.918304283867684,0.882958570145276
Control,10,1,0.316227766016838,0.1,5.60576,56.0576,7.95050362486553,24.0526,308.44654331401,0.2205,0.0900000000000001,0.916600402700107,0.887539131565825
Control,10,1,0.316227766016838,0.316227766016838,5.60576,56.0576,7.95050362486553,76.060999648966,896.220785730522,0.214,0.0870000000000001,0.915545335805382,0.877499766480361
Control,10,1,0.316227766016838,1,5.60576,56.0576,7.95050362486553,240.526,2219.07685918962,0.205,0.0820000000000001,0.913827195773132,0.857617770505528
Control,10,1,0.316227766016838,3.16227766016838,5.60576,56.0576,7.95050362486553,760.60999648966,4117.62597783034,0.199,0.0740000000000001,0.911879295291303,0.83314517416811
Control,10,1,0.316227766016838,10,5.60576,56.0576,7.95050362486553,2405.26,5903.14851544294,0.1965,0.0640000000000001,0.910211266689116,0.812897942013287
Control,10,1,1,0.1,5.60576,56.0576,25.1417,24.0526,463.569872374597,0.2885,0.155,0.901605326514142,0.854837009711598
Control,10,1,1,0.316227766016838,5.60576,56.0576,25.1417,76.060999648966,1428.18642751687,0.2845,0.157,0.896542388989806,0.832568115720989
Control,10,1,1,1,5.60576,56.0576,25.1417,240.526,3900.37907111363,0.278,0.157,0.887672409666821,0.787912542060614
Control,10,1,1,3.16227766016838,5.60576,56.0576,25.1417,760.60999648966,7657.27550957188,0.273,0.139,0.877026894482724,0.738176179225745
Control,10,1,1,10,5.60576,56.0576,25.1417,2405.26,11084.7360238679,0.2685,0.108,0.867908222320863,0.703322973843066
Control,10,1,3.16227766016838,0.1,5.60576,56.0576,79.5050362486553,24.0526,1025.09365814255,0.757999999999974,NaN,0.783741321892148,0.745649532639284
Control,10,1,3.16227766016838,0.316227766016838,5.60576,56.0576,79.5050362486553,76.060999648966,3341.8932754653,0.767999999999973,NaN,0.743693334017772,0.6545274824732
Control,10,1,3.16227766016838,1,5.60576,56.0576,79.5050362486553,240.526,8422.87939844743,0.765999999999973,NaN,0.665741924914759,0.552680514440396
Control,10,1,3.16227766016838,3.16227766016838,5.60576,56.0576,79.5050362486553,760.60999648966,13107.2270740277,0.755499999999974,NaN,0.595693535691255,0.510788830389363
Control,10,1,3.16227766016838,10,5.60576,56.0576,79.5050362486553,2405.26,14923.4697937045,0.739499999999976,NaN,0.561795853236184,0.503977464881572
Control,10,1,10,0.1,5.60576,56.0576,251.417,24.0526,1615.67047680778,0.777499999999972,NaN,0.52323071021538,0.48752274742001
Control,10,1,10,0.316227766016838,5.60576,56.0576,251.417,76.060999648966,4814.24927041064,0.775999999999972,NaN,0.490757289607861,0.433855400512369
Control,10,1,10,1,5.60576,56.0576,251.417,240.526,11067.2881869127,0.770999999999973,NaN,0.444056959336923,0.404083473972584
Control,10,1,10,3.16227766016838,5.60576,56.0576,251.417,760.60999648966,15208.9697204997,0.757499999999974,NaN,0.425913822345076,0.423040884913671
Control,10,1,10,10,5.60576,56.0576,251.417,2405.26,14462.1924991527,0.729999999999977,NaN,0.430817409395826,0.446068878828997
Control,10,3.16227766016838,0.1,0.1,17.7269696162655,177.269696162655,2.51417,24.0526,155.99266889168,0.1785,0.0820000000000001,0.920139026140051,0.908074302045116
Control,10,3.16227766016838,0.1,0.316227766016838,17.7269696162655,177.269696162655,2.51417,76.060999648966,420.399115950898,0.1705,0.0830000000000001,0.919832293605062,0.904148105956612
Control,10,3.16227766016838,0.1,1,17.7269696162655,177.269696162655,2.51417,240.526,925.782846022556,0.159,0.0850000000000001,0.919336898551385,0.897172312739426
