genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak
Control,20,0.316227766016838,0.1,0.316227766016838,1.77269696162655,35.453939232531,2.51417,76.060999648966,233.966642168453,0.154,0.0890000000000001,0.958350553559971,0.950676470659741
Control,20,0.316227766016838,0.1,1,1.77269696162655,35.453939232531,2.51417,240.526,485.532815651158,0.144,0.0910000000000001,0.958218027584097,0.949026403907849
Control,20,0.316227766016838,0.1,3.16227766016838,1.77269696162655,35.453939232531,2.51417,760.60999648966,790.031750972606,0.1375,0.0920000000000001,0.958070550031553,0.947113947098451
Control,20,0.316227766016838,0.1,10,1.77269696162655,35.453939232531,2.51417,2405.26,1065.60170989985,0.1345,0.0910000000000001,0.957945452094828,0.945408122212211
Control,20,0.316227766016838,0.316227766016838,0.1,1.77269696162655,35.453939232531,7.95050362486553,24.0526,212.041205723376,0.2,0.0820000000000001,0.956755245239757,0.938230589622294
Control,20,0.316227766016838,0.316227766016838,0.316227766016838,1.77269696162655,35.453939232531,7.95050362486553,76.060999648966,584.336600842778,0.193,0.0810000000000001,0.956477693727184,0.934818084629352
Control,20,0.316227766016838,0.316227766016838,1,1.77269696162655,35.453939232531,7.95050362486553,240.526,1327.02563997984,0.183,0.0800000000000001,0.95603178106286,0.928734265783576
Control,20,0.316227766016838,0.316227766016838,3.16227766016838,1.77269696162655,35.453939232531,7.95050362486553,760.60999648966,2314.80606730999,0.177,0.0770000000000001,0.955533463313451,0.921391009199072
Control,20,0.316227766016838,0.316227766016838,10,1.77269696162655,35.453939232531,7.95050362486553,2405.26,3241.89717067681,0.1755,0.0720000000000001,0.955109857284604,0.914975324053257
Control,20,0.316227766016838,1,0.1,1.77269696162655,35.453939232531,25.1417,24.0526,363.832855706069,0.251,0.113,0.95061826205253,0.912126562282507
Control,20,0.316227766016838,1,0.316227766016838,1.77269696162655,35.453939232531,25.1417,76.060999648966,1073.42768036223,0.244,0.11,0.949523498195666,0.902655133322676
Control,20,0.316227766016838,1,1,1.77269696162655,35.453939232531,25.1417,240.526,2723.46813849524,0.2345,0.104,0.947732112071552,0.884426437951438
Control,20,0.316227766016838,1,3.16227766016838,1.77269696162655,35.453939232531,25.1417,760.60999648966,5131.60309146693,0.2295,0.0910000000000001,0.945698899996994,0.863142107004348
Control,20,0.316227766016838,1,10,1.77269696162655,35.453939232531,25.1417,2405.26,7389.21291907382,0.227,0.0770000000000001,0.943965745797908,0.845916239748484
Control,20,0.316227766016838,3.16227766016838,0.1,1.77269696162655,35.453939232531,79.5050362486553,24.0526,534.149854019395,0.407,0.381999999999971,0.917861279039453,0.874108194577726
Control,20,0.316227766016838,3.16227766016838,0.316227766016838,1.77269696162655,35.453939232531,79.5050362486553,76.060999648966,1640.84034847843,0.418,NaN,0.909424497612211,0.85236485589395
Control,20,0.316227766016838,3.16227766016838,1,1.77269696162655,35.453939232531,79.5050362486553,240.526,4477.32461184166,0.462499999999999,NaN,0.892585328307001,0.810039898246864
Control,20,0.316227766016838,3.16227766016838,3.16227766016838,1.77269696162655,35.453939232531,79.5050362486553,760.60999648966,8846.4054305332,0.572499999999991,NaN,0.871149215038532,0.764849290654992
Control,20,0.316227766016838,3.16227766016838,10,1.77269696162655,35.453939232531,79.5050362486553,2405.26,12689.1810323899,0.576999999999991,NaN,0.854081169882262,0.732249092406198
