genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,k_3,0.464158883361278,7.27397310881959,1,5572.18120278395,0.2435,0.0800000000000001,0.242,0.890040039338017,0.790096570195285,p95,3041.80273612007,0.333,0.136,0.831868035562183,-0.268768768768769,-0.411764705882353,0.933791252665946
H251N,10,k_3,0.464158883361278,7.27397310881959,1,5572.18120278395,0.2435,0.0800000000000001,0.242,0.890040039338017,0.790096570195285,least_squares,3325.87523837113,0.333,0.136,0.675402955136994,-0.268768768768769,-0.411764705882353,0.697955975883645
H251N,10,k_3,1,15.6713,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,peak,2994.60909783253,0.333,0.136,1.77809151176127,0.0360360360360357,1.58088235294105,5.66209703393112
H251N,10,k_3,1,15.6713,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,p95,3041.80273612007,0.333,0.136,1.7349893590875,0.0360360360360357,1.58088235294105,5.51067568588048
H251N,10,k_3,1,15.6713,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,least_squares,3325.87523837113,0.333,0.136,1.50138610725701,0.0360360360360357,1.58088235294105,4.75464785279798
H251N,10,k_3,2.15443469003188,33.7627923578967,0,16306.2576319147,0.847499999999964,NaN,NaN,0.702218967855944,0.514455053581128,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_3,2.15443469003188,33.7627923578967,0,16306.2576319147,0.847499999999964,NaN,NaN,0.702218967855944,0.514455053581128,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_3,2.15443469003188,33.7627923578967,0,16306.2576319147,0.847499999999964,NaN,NaN,0.702218967855944,0.514455053581128,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_3,4.64158883361278,72.7397310881959,0,16985.1286492148,0.842999999999965,NaN,NaN,0.481548805577296,0.414164089589231,peak,2994.60909783253,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_3,4.64158883361278,72.7397310881959,0,16985.1286492148,0.842999999999965,NaN,NaN,0.481548805577296,0.414164089589231,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_3,4.64158883361278,72.7397310881959,0,16985.1286492148,0.842999999999965,NaN,NaN,0.481548805577296,0.414164089589231,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
